900, 0.0
1000, 0.00032
1100, 0.00091
1200, 0.00213
1300, 0.00432
1400, 0.00779
1500, 0.01285
1600, 0.01972
1700, 0.02853
1800, 0.03934
1900, 0.05210
2000, 0.06672
2100, 0.08305
2200, 0.10088
2300, 0.12002
2400, 0.14025
2500, 0.16135
2600, 0.18311
2700, 0.20535
2800, 0.22788
2900, 0.25055
3000, 0.27322
3100, 0.29576
3200, 0.31809
3300, 0.34009
3400, 0.36172
3500, 0.38290
3600, 0.40359
3700, 0.42375
3800, 0.44336
3900, 0.46240
4000, 0.48085
4100, 0.49872
4200, 0.51599
4300, 0.53267
4400, 0.54877
4500, 0.56429
4600, 0.57925
4700, 0.59366
4800, 0.60753
4900, 0.62088
5000, 0.63372
5100, 0.64606
5200, 0.65794
5300, 0.66935
5400, 0.68033
5500, 0.69087
5600, 0.70101
5700, 0.71076
5800, 0.72012
5900, 0.72913
6000, 0.73778
6200, 0.75410
6400, 0.76920
6600, 0.78316
6800, 0.79609
7000, 0.80807
7200, 0.81918
7400, 0.82949
7600, 0.83906
7800, 0.84796
8000, 0.85625
8200, 0.86396
8400, 0.87115
8600, 0.87786
8800, 0.88413
9000, 0.88999
9200, 0.89547
9400, 0.90060
9600, 0.90541
9800, 0.90992
10000, 0.91415
10200, 0.91813
10400, 0.92188
10600, 0.92540
10800, 0.92872
11000, 0.93184
11200, 0.93479
11400, 0.93758
11600, 0.94021
11800, 0.94270
12000, 0.94505
12200, 0.94728
12400, 0.94939
12600, 0.95139
12800, 0.95329
13000, 0.95509
13200, 0.95680
13400, 0.95843
13600, 0.95998
13800, 0.96145
14000, 0.96285
14200, 0.96418
14400, 0.96546
14600, 0.96667
14800, 0.96783
15000, 0.96893
16000, 0.97377
17000, 0.97765
18000, 0.98081
19000, 0.98340
20000, 0.98555
21000, 0.98735
22000, 0.98886
23000, 0.99014
24000, 0.99123
25000, 0.99217
26000, 0.99297
27000, 0.99367
28000, 0.99429
29000, 0.99482
30000, 0.99529
31000, 0.99571
32000, 0.99607
33000, 0.99640
34000, 0.99669
35000, 0.99695
36000, 0.99719
37000, 0.99740
38000, 0.99759
39000, 0.99776
40000, 0.99792
41000, 0.99806
42000, 0.99819
43000, 0.99831
44000, 0.99842
45000, 0.99851
46000, 0.99861
47000, 0.99869
48000, 0.99877
49000, 0.99884
50000, 0.99890
51000, 1.0
