,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
0,10000.0,0.1655157365194714,0.06,1.0,1.0,0.7625,0.0,0.113,0.1245,0.0,10865.0,2684.0,0.2684,0.5812015309012462,210.0,0.021,0.14615449399047353,3.058799523620297e-18,2.247807984127882e-18,4846.963537176387,0.9579528326937883,0.7893816611163444,0.0,0.0,3.8176286440706973e-19,4.2922867508534576e-19,0.78314457540705,0.6217954130109064,3.690452270286618e-25
1,10000.0,0.1655157365194714,0.06,1.0,0.98,0.7345,0.0,0.123,0.1425,168.0,11045.0,2908.0,0.2908,0.6103053393677021,184.0,0.0184,0.13587967592187164,3.031019411114033e-18,2.140359096088991e-18,4657.570978860444,0.9647999714334093,0.7568647971969767,0.0,0.0,4.0213012450021154e-19,4.885301905248303e-19,0.7809957918185124,0.6315198839784669,3.656935467869237e-25
2,10000.0,0.1655157365194714,0.06,1.0,0.96,0.7218,0.0,0.1215,0.1567,301.0,11032.0,2917.0,0.2917,0.6002059102620294,188.0,0.0188,0.135824905081815,3.044964772111453e-18,2.1167749122169005e-18,4585.154394678033,0.9751006131842546,0.8224911845248836,0.0,0.0,4.023956193975018e-19,5.257942404970509e-19,0.8014102101343669,0.5874268771055333,3.673760594444379e-25
3,10000.0,0.1655157365194714,0.06,1.0,0.94,0.7098,0.0,0.1325,0.1577,438.0,11016.0,2935.0,0.2935,0.6107332064862288,214.0,0.0214,0.14813586474396517,3.032779855611561e-18,2.0754326024842398e-18,4513.664812332826,0.9721421589017886,0.7967727289308786,0.0,0.0,4.2900777966340836e-19,5.283394734639131e-19,0.8207532684178735,0.6883685836710317,3.6590594502820913e-25
4,10000.0,0.1655157365194714,0.06,0.98,1.0,0.7329,0.0227,0.1138,0.1306,0.0,10379.0,2753.0,0.2753,0.5747546818377641,208.0,0.0208,0.14549734343861667,3.0889745664876226e-18,2.1780189730172533e-18,4650.5988851275315,0.9408883823617825,0.737308515778278,6.74486390275132e-20,19.01013820308761,3.879370210290935e-19,4.555699334137628e-19,0.7673402092127273,0.6017386651692133,3.726858564519303e-25
5,10000.0,0.1655157365194714,0.06,0.98,0.98,0.7159,0.02,0.1251,0.139,155.0,10457.0,2829.0,0.2829,0.5894932910848294,204.0,0.0204,0.14347786794435924,3.0373492670475386e-18,2.1029797896733185e-18,4566.694100108755,0.9668485404875091,0.8070943925070546,5.901244420169635e-20,16.915127819714566,4.0975734326648325e-19,4.655996899060413e-19,0.8093686503284006,0.6755136761060238,3.664572461081772e-25
6,10000.0,0.1655157365194714,0.06,0.98,0.96,0.7038,0.022,0.1244,0.1498,298.0,10678.0,2920.0,0.292,0.6064427238228913,192.0,0.0192,0.137961093523981,3.0610743815119264e-18,2.078681099719124e-18,4478.943062135441,0.9426126375942461,0.7450492939073973,6.917472376322398e-20,19.674330678134563,4.1259441094061765e-19,5.006241470889613e-19,0.8015163319493855,0.5961023759296009,3.6931968942496837e-25
7,10000.0,0.1655157365194714,0.06,0.98,0.94,0.6915,0.0192,0.1288,0.1605,435.0,10745.0,2974.0,0.2974,0.6071162154068206,188.0,0.0188,0.13801617603195884,3.0502745183797734e-18,2.0264636649206753e-18,4381.889801273579,0.9626497050131287,0.7751687762442849,5.757723015141387e-20,16.43380985058951,4.2709783881113174e-19,5.391357844965524e-19,0.7946737763654191,0.6202544145511423,3.6801668217957476e-25
8,10000.0,0.1655157365194714,0.06,0.96,1.0,0.7142,0.0429,0.1153,0.1276,0.0,10151.0,2791.0,0.2791,0.601530858674261,187.0,0.0187,0.13766700846797697,3.0533607602655153e-18,2.107510681538379e-18,4552.5342461307255,0.960394868039073,0.776387955435501,1.2524035018739642e-19,35.7102235543991,3.8645116415200985e-19,4.341585643877306e-19,0.7943311474324677,0.6452423741343962,3.683890383371437e-25
9,10000.0,0.1655157365194714,0.06,0.96,0.98,0.7005,0.0417,0.1172,0.1406,143.0,10236.0,2797.0,0.2797,0.5915259083844333,194.0,0.0194,0.14221695597310688,3.0502947853825406e-18,2.072878825747087e-18,4482.225066377266,0.9676237865743281,0.8248938950371147,1.2520269077556927e-19,35.735368592713655,3.7792905059485027e-19,4.742842182650339e-19,0.8168390295985394,0.7314428424847463,3.680191274005118e-25
