,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
3223,0.9365309019391835,0.033,0.98,0.94,0.3366,0.0081,0.259,0.3963,225.0,4431.0,11333.0,1.1333,1.6020573550209984,763.0,0.0763,0.28015381242428516,3.0562416629049227e-18,7.245762161739895e-19,15606.40941489262,1.2089690258502286,0.8998271321694473,1.6258279722762248e-20,46.22302581009492,8.3796018696177285e-19,1.477446980046398e-18,0.7172943775269228,0.5781080189169456,3.69463223042408e-26
3224,0.9365309019391835,0.033,0.96,1.0,0.3513,0.0186,0.2525,0.3776,0.0,4156.0,11158.0,1.1158,1.5897934156079623,729.0,0.0729,0.28034523242768816,3.0423153072947267e-18,7.646320392306656e-19,16544.547072132606,1.1784930326995942,0.84161661988982,3.712985015863072e-20,106.04506092439776,8.221005783372921e-19,1.4184528395681386e-18,0.7217046316301968,0.6058539248916603,3.677796924854404e-26
3225,0.9365309019391835,0.033,0.96,0.98,0.3471,0.0169,0.2443,0.3917,70.0,4306.0,11284.0,1.1284,1.6116368006836193,773.0,0.0773,0.298552547070589,3.03632583253104e-18,7.486898737919882e-19,16231.55762636181,1.1880138939734248,0.8475596460590183,3.627897618558069e-20,103.81930564712545,7.843357702065602e-19,1.467021212346911e-18,0.7163323358268657,0.595912537867781,3.670556363097192e-26
3226,0.9365309019391835,0.033,0.96,0.96,0.3371,0.017,0.2505,0.3954,146.0,4401.0,11386.0,1.1386,1.5846264998776245,759.0,0.0759,0.2893917150791909,3.0770406563186464e-18,7.312419131785467e-19,15643.519033978284,1.1886761087876818,0.8247081344972765,3.499060494111816e-20,98.80744933146994,8.274537199283506e-19,1.4833544182706306e-18,0.7227705305550818,0.6036184082835504,3.7197757366982796e-26
3227,0.9365309019391835,0.033,0.96,0.94,0.3247,0.0187,0.2556,0.401,196.0,4350.0,11321.0,1.1321,1.6158312662738357,740.0,0.074,0.2837816999126627,3.0407340152008804e-18,7.089457648382917e-19,15347.62549664925,1.1679033607247762,0.8172867887125528,4.13831838461838e-20,118.25429953441241,8.190382017545689e-19,1.471366864761836e-18,0.7314125701703624,0.5940628038109638,3.67588533101464e-26
3228,0.9365309019391835,0.033,0.94,1.0,0.3446,0.0278,0.2476,0.38,0.0,4123.0,11124.0,1.1124,1.591546273896614,778.0,0.0778,0.29454343581814607,3.0639200803516282e-18,7.494377492204797e-19,16101.441001814374,1.181880651861328,0.8579619601153042,6.208693797623283e-20,176.0736149223942,8.214842025528163e-19,1.4309111906020993e-18,0.7142693415199943,0.6197747479336471,3.703914522764236e-26
3229,0.9365309019391835,0.033,0.94,0.98,0.3344,0.0271,0.2484,0.3901,55.0,4165.0,11317.0,1.1317,1.5884607111109401,759.0,0.0759,0.2876585906008625,3.0708809029672436e-18,7.186442483966929e-19,15404.854249019614,1.192270054993318,0.8594338076071536,5.831719138639886e-20,165.00803709507906,8.204663163984263e-19,1.4734531467857254e-18,0.7171454099454119,0.6369633198117749,3.712329328405447e-26
3230,0.9365309019391835,0.033,0.94,0.96,0.3297,0.0256,0.2596,0.3851,144.0,4266.0,11316.0,1.1316,1.6404116968168403,710.0,0.071,0.2862991385241527,3.065442633065009e-18,7.234596186180555e-19,15535.588710594138,1.1748105368071526,0.8802706097124348,5.450455118435865e-20,154.4937968761665,8.429310391287236e-19,1.4445474241338713e-18,0.7228293780724765,0.6173824335916067,3.7057551076877556e-26
3231,0.9365309019391835,0.033,0.94,0.94,0.3264,0.0271,0.2527,0.3938,237.0,4343.0,11206.0,1.1206,1.600472365015753,743.0,0.0743,0.28493442888299103,3.0379644439625244e-18,7.118273089880887e-19,15424.055246577434,1.1631798628326644,0.7820088073211521,5.943914382914594e-20,170.0048574779489,8.101175342352056e-19,1.456580456910084e-18,0.7466336500872449,0.6552137777364224,3.6725372491905216e-26
3232,0.9365309019391835,0.025,1.0,1.0,0.3686,0.0,0.2439,0.3875,0.0,4712.0,11291.0,1.1291,1.5623307197030252,707.0,0.0707,0.27038642880530855,3.086052244921382e-18,8.067082580497847e-19,13036.046790376924,1.1638915825370069,0.8155864961306672,0.0,0.0,8.11736806038868e-19,1.4676071808327295e-18,0.723672594389504,0.677966136044782,4.924483969958318e-26
3233,0.9365309019391835,0.025,1.0,0.98,0.3681,0.0,0.2406,0.3913,77.0,4810.0,11180.0,1.118,1.6160869944768974,775.0,0.0775,0.28513484562224034,3.0313332572755853e-18,8.004958777617496e-19,13169.160708822094,1.1622276716628237,0.791105568134278,0.0,0.0,7.838778527379427e-19,1.4469595267758934e-18,0.7446775199087032,0.6475403970558994,4.837167633056531e-26
3234,0.9365309019391835,0.025,1.0,0.96,0.3572,0.0,0.2442,0.3986,157.0,4892.0,11163.0,1.1163,1.5776638464264916,700.0,0.07,0.2681551616491316,3.068353717528189e-18,7.826901767613967e-19,12720.879592820487,1.16925185747621,0.7954197762115083,0.0,0.0,8.002873163008823e-19,1.48537622446591e-18,0.7345537114575825,0.6189870757752177,4.896242026036897e-26
3235,0.9365309019391835,0.025,1.0,0.94,0.3462,0.0,0.2589,0.3949,206.0,4893.0,11566.0,1.1566,1.6174480065230474,749.0,0.0749,0.28617858029206483,3.0543251594987735e-18,7.553934325902869e-19,12333.621519476981,1.1801110422499657,0.8552029062155165,0.0,0.0,8.384151997651542e-19,1.4605165271433326e-18,0.7437081274870481,0.6475808103670065,4.873856335953012e-26
