,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
0,0.1655157365194714,0.06,1.0,1.0,0.7454,0.0,0.1223,0.1323,0.0,10658.0,2920.0,0.292,0.6021397323094719,181.0,0.0181,0.13331979379200104,3.0675264249408296e-18,2.2073469936900672e-18,10583.733332123411,0.9412462197525255,0.7347444674542297,0.0,0.0,4.0876155195824775e-19,4.514178792925148e-19,0.7791087380035935,0.6573354165798194,1.6596704307473593e-25
1,0.1655157365194714,0.06,1.0,0.98,0.7356,0.0,0.121,0.1434,138.0,10708.0,2860.0,0.286,0.5919789218413021,206.0,0.0206,0.1427504037394528,3.0696733412108996e-18,2.1826820366433366e-18,10458.150895070557,0.9599934154667682,0.7791741284139823,0.0,0.0,4.0142338339516646e-19,4.855679211723969e-19,0.8141446206102697,0.7312527299076655,1.6608320094779467e-25
2,0.1655157365194714,0.06,1.0,0.96,0.7271,0.0,0.1207,0.1522,276.0,11030.0,2902.0,0.2902,0.5991826616201429,183.0,0.0183,0.13478474206181226,3.062930741199963e-18,2.1553021008306557e-18,10349.695382870981,0.9625900443664779,0.7899847428750202,0.0,0.0,3.985374837544937e-19,5.090911566148139e-19,0.813218597066553,0.7182894146378087,1.657183958144624e-25
3,0.1655157365194714,0.06,1.0,0.94,0.7112,0.0,0.1338,0.155,462.0,11320.0,2862.0,0.2862,0.5854261972129692,179.0,0.0179,0.13557812560591878,3.058029879840493e-18,2.097599800913642e-18,10088.753259364448,0.952975926702123,0.7770045289442701,0.0,0.0,4.466722197158253e-19,5.137578592110252e-19,0.8303229337343911,0.6831118013805869,1.6545323706579205e-25
4,0.1655157365194714,0.06,0.98,1.0,0.7404,0.0207,0.115,0.1239,0.0,10695.0,2716.0,0.2716,0.5805748416136126,184.0,0.0184,0.137343825243923,3.0568817217131558e-18,2.1878380315919826e-18,10526.721287531358,0.9382663107539946,0.6968061736970789,5.918111973328653e-20,37.58598997593449,3.793462211829302e-19,4.3051634920495636e-19,0.7728742243196698,0.6397484440945301,1.6539111652207741e-25
5,0.1655157365194714,0.06,0.98,0.98,0.7159,0.0233,0.1262,0.1346,151.0,10509.0,2785.0,0.2785,0.5780753991623512,182.0,0.0182,0.13664050300956251,3.022280627240458e-18,2.0953584754155457e-18,10197.181227569161,0.9737723583620211,0.8278242411571638,7.025163636246466e-20,45.12769048993212,4.152582352872578e-19,4.4141228017519e-19,0.8386604174951785,0.6790640240324273,1.6351904093371666e-25
6,0.1655157365194714,0.06,0.98,0.96,0.7074,0.0237,0.1195,0.1494,281.0,10852.0,2835.0,0.2835,0.5936017067854756,188.0,0.0188,0.13873890892062274,3.072212533650783e-18,2.1037943918926772e-18,10071.835605748305,0.9554529052149894,0.7891006104309078,6.361911252155933e-20,40.202938784904596,3.9868696054002257e-19,5.061120686965237e-19,0.7833553184806469,0.5656953115229924,1.6622058273450684e-25
7,0.1655157365194714,0.06,0.98,0.94,0.6884,0.0223,0.1238,0.1655,446.0,10877.0,2948.0,0.2948,0.6080542187940968,202.0,0.0202,0.14558186496930448,3.0402590013310197e-18,2.0263850130348174e-18,9803.20250320023,0.9624811086813558,0.762028474276053,6.712209146514229e-20,42.862386496366675,4.0116089473919517e-19,5.45591002091865e-19,0.821587363391829,0.6868137869854036,1.6449175222410417e-25
8,0.1655157365194714,0.06,0.96,1.0,0.7148,0.0406,0.1157,0.1289,0.0,10080.0,2758.0,0.2758,0.5842674874145274,175.0,0.0175,0.13264806651796734,3.057772846413299e-18,2.1168488855767874e-18,10182.190749691312,0.9578141266799146,0.7843386007556603,1.1742619089238555e-19,74.5557604707541,3.8056998317956986e-19,4.42927786764556e-19,0.77391947742514,0.60418431825812,1.6543933039573508e-25
9,0.1655157365194714,0.06,0.96,0.98,0.6936,0.0428,0.1232,0.1404,131.0,10205.0,2882.0,0.2882,0.5914184115951729,177.0,0.0177,0.13486485403130533,3.064855719176542e-18,2.050334050566779e-18,9839.458124289878,0.9537410027199242,0.7751507838966867,1.202489840019339e-19,76.1715568123976,4.1671219116683203e-19,4.775604934409963e-19,0.7773859857213863,0.5585650995163913,1.658225458228076e-25
